,,,,,,,,,,,,
,,,,,,,,,,,,
"Provide a listing of groups serving immigrants needs for food and rent assistance in the minneapolis-St. Paul metro area with focus on these counties: Ramsey, Hennepin, Dakota, Washington and Scott. ",,,,,,,,,,,,
"Provide these columns: organization name, website, phone #, address, populations served and services offered, county name, # of employees, year founded, whether volunteers are needed, any current focus on ICE resistance.",,,,,,,,,,,,
,,,,,,,,,,,,
"Below is a starter directory of Minneapolis–St. Paul metro organizations that commonly serve immigrants/refugees (or explicitly include them) with food and/or rent/housing stability help, organized to emphasize Ramsey, Hennepin, Dakota, Washington, and Scott Counties.  For “# employees,” I used publicly listed figures (often from IRS/990 aggregators or org profiles), so treat as approximate.",,,,,,,,,,,,
,,,,,,,,,,,,
"What I mean by “ICE resistance” here: public-facing Know-Your-Rights education, legal defense/representation, accompaniment/rapid-response organizing, or policy/advocacy—not anything about evasion.",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
organization name,website,phone #,address,populations served and services offered,county name,# of employees,year founded,whether volunteers are needed,any current focus on ICE resistance,sources,,
Catholic Charities Twin Cities,https://cctwincities.org/,612-204-8500,"1007 E 14th St, Minneapolis, MN 55404","Wide range of housing and basic needs services (shelter, housing support, referrals).",Hennepin,,,Yes,No explicit.,https://cctwincities.org/contact-us/,,
Community Action Partnership of Hennepin County (CAP-HC),https://caphennepin.org/,952-933-9639,"8800 Hwy 7, Ste 401 (or #403), St. Louis Park, MN 55426","Low-income Hennepin County residents; programs include rental assistance, energy/water assistance and other supports.",Hennepin,,,Yes,No explicit.,https://www.findhelp.org/provider/community-action-partnership-of-hennepin-county-%2528cap-hc%2529--st.-louis-park-mn/6198777151225856 ; https://www.ceap.org/resource-center/resources-by-topic/financial-resources.html,,
Community Emergency Assistance Programs (CEAP),https://ceap.org/,763-566-9600,"7051 Brooklyn Blvd, Brooklyn Center, MN 55429","Residents in need (northwest metro); food shelf and housing navigation, benefits help, and connections to rent/utility resources.",Hennepin,,1970,Yes,No explicit.,https://ceap.org/what-we-do/housing-assistance.html ; https://ceap.org/,,
HOME Line (Tenant Hotline),https://homelinemn.org/,612-728-5767 (toll-free 866-866-3546),Statewide hotline (Minnesota),"Minnesota renters; free legal advice to prevent eviction/resolve housing problems; language lines available (e.g., Spanish, Somali, Hmong).",Hennepin,,,Yes (law student volunteers),Indirect (housing rights; not ICE).,https://homelinemn.org/ ; https://mn.gov/adresources/search/e19d77d0-8f79-58ed-b751-1e2bfe8303ca,,
ICA Food Shelf,https://www.icafoodshelf.org/,952-938-0729,"11588 K-Tel Dr, Minnetonka, MN 55343",Community members needing food; food shelf appointments and connections to services; volunteer opportunities.,Hennepin,,,Yes,No explicit.,https://www.icafoodshelf.org/ ; https://www.icafoodshelf.org/contact-us,,
Jewish Family and Children’s Service of Minnesota (JFCS),https://jfcsmpls.org/,952-546-0616,"5905 Golden Valley Rd, Golden Valley, MN 55422",All faiths/backgrounds; emergency financial assistance grants/loans (when available) to help with basic needs and stability.,Hennepin,,,Yes (volunteer opportunities on site),No explicit.,https://jfcsmpls.org/emergency-financial-assistance/ ; https://www.jfcsmn.org/contact/,,
PRISM (Golden Valley),https://prismmpls.org/,763-432-4217 (housing); 763-529-1350 (main),"1220 Zane Ave N, Golden Valley, MN 55422",Northwest metro residents; food assistance and housing assistance (eviction prevention/resources).,Hennepin,,,Yes (volunteer link on site),No explicit.,https://prismmpls.org/contact/,,
PROP (People Reaching Out to People) – Eden Prairie,https://propfood.org/,952-937-9120,"14700 Martin Dr, Eden Prairie, MN 55344",Community members in crisis; food shelf plus short-term emergency financial assistance (incl. housing-related).,Hennepin,,,Yes,No explicit.,https://propfood.org/contact/ ; https://propfood.org/,,
People Serving People (Family Shelter),https://www.peopleservingpeople.org/,612-332-4500,"614 S 3rd St, Minneapolis, MN 55415","Families experiencing homelessness (many immigrant families served); shelter, meals and supportive services; volunteer opportunities.",Hennepin,,,Yes,No explicit.,https://www.peopleservingpeople.org/,,
Pillsbury United Communities – Brian Coyle Center (Food Shelf),https://pillsburyunited.org/,612-338-5282,"420 15th Ave S, Minneapolis, MN 55454",Residents needing food support; food shelf/food distribution at multiple sites; referrals to housing and other supports.,Hennepin,,,Yes,No explicit.,https://pillsburyunited.org/programs/food-distribution/,,
STEP (St. Louis Park Emergency Program),https://www.stepslp.org/,952-925-4899 (main); 952-234-4323 (rent assist line),"St. Louis Park, MN (serves St. Louis Park residents)",St. Louis Park residents; food assistance and crisis rent assistance (case-by-case) plus advocacy/referrals.,Hennepin,,1975,Yes,No explicit.,https://www.stepslp.org/contact ; https://www.stepslp.org/rental-assist,,
Sabathani Community Center,https://sabathani.org/,612-821-2300,"310 E 38th St, Minneapolis, MN 55409",Hennepin County residents facing food/housing instability; food distribution and housing services (rent/mortgage/utility help and resources).,Hennepin,,,Yes (volunteer link on site),No explicit.,https://sabathani.org/contact-us/ ; https://sabathani.org/,,
Simpson Housing Services,https://simpsonhousing.org/,612-874-8683,"160 Glenwood Ave, Minneapolis, MN 55405",People experiencing homelessness; housing support and services; referrals and coordinated entry information.,Hennepin,,,Yes,No explicit.,https://simpsonhousing.org/contact-us/location-and-directions/,,
The Advocates for Human Rights (Immigrant Client Line),https://www.theadvocatesforhumanrights.org/,612-341-9845 (immigrant client line),"330 2nd Ave S, Suite 800, Minneapolis, MN 55401","Immigrants in Upper Midwest; immigration legal services, including people detained by immigration, asylum seekers, trafficking victims; Know Your Rights resources.",Hennepin,,,Yes,Yes (immigration detention/deportation-related representation and advocacy).,https://www.theadvocatesforhumanrights.org/Location ; https://www.theadvocatesforhumanrights.org/,,
The Food Group (Food HelpLine / Fare For All / food bank),https://www.thefoodgroupmn.org/,763-450-3860,"8501 54th Ave N, New Hope, MN 55428",Regional food support; runs/partners on food access programs and referral HelpLine; supports food shelves across the metro.,Hennepin,,,Yes,No explicit.,https://www.thefoodgroupmn.org/contact/ ; https://www.hungersolutions.org/find-help/,,
The Salvation Army – North Minneapolis (Parkview Worship & Service Center),https://centralusa.salvationarmy.org/northern/NorthMinneapolis/home/,612-522-4871,"2024 Lyndale Ave N, Minneapolis, MN 55411",North Minneapolis residents; client-choice food shelf and emergency financial assistance including rental and utility assistance.,Hennepin,,,Yes,No explicit.,https://centralusa.salvationarmy.org/northern/NorthMinneapolis/programs-and-services/ ; https://centralusa.salvationarmy.org/northern/NorthMinneapolis/contact-us/,,
VEAP (Volunteers Enlisted to Assist People),https://veap.org/,952-888-9616,"9600 Aldrich Ave S, Bloomington, MN 55420","Residents needing food and financial help (Bloomington/Richfield/Edina/South Mpls areas); food pantry and assistance/referrals, including housing-related crises.",Hennepin,,,Yes,No explicit.,https://veap.org/about/contact-us/ ; https://veap.org/get-help/,,
CLUES (Comunidades Latinas Unidas En Servicio) – St. Paul,https://clues.org/,651-379-4200,"461 Maria Ave, St Paul, MN 55106","Latino/a and other immigrant communities; culturally responsive services and referrals. Basic needs navigation, health & wellness, employment support; can help connect to food/housing resources.",Ramsey,,1981,Yes (volunteer opportunities listed on site),Indirect (community support; not explicitly ICE-focused on contact page),https://clues.org/about/locations/ ; https://m.nsvrc.org/organizations/clue-comunidades-latinas-unidas-en-servicio/,,
Community Action Partnership of Ramsey & Washington Counties (CAPRW),https://caprw.org/,651-645-6445,"450 Syndicate St N, Saint Paul, MN 55104","Low-income residents of Ramsey & Washington counties; community action programs (e.g., housing stability/energy & other supports; referrals for emergency needs).",Ramsey,,,Yes (volunteer opportunities listed),No explicit.,https://caprw.org/contact/,,
Hmong American Partnership (HAP),https://hmong.org/,651-219-5702,"394 University Ave W, 2nd Fl, Saint Paul, MN 55103","Hmong and other immigrant/refugee communities; program navigation, workforce services, and support (incl. public benefits/SNAP support at some sites).",Ramsey,,,Yes (Get Involved/volunteer on site),No explicit; may refer to legal resources.,https://hmong.org/contact-hap/,,
Immigrant Law Center of Minnesota (ILCM),https://www.ilcm.org/,651-641-1011 (toll-free 800-223-1368),"450 N Syndicate St, Suite 200, St. Paul, MN 55104","Immigrants statewide; immigration legal services, resources, and referrals.",Ramsey,,,Yes (volunteer/pro bono opportunities common; check site),Yes (immigration legal services; often includes defense/Know Your Rights).,https://www.ilcm.org/contact/ ; https://www.immigrationadvocates.org/embedded/swi/organization.393041-Immigrant_Law_Center_of_Minnesota_St_Paul_Office,,
Interfaith Action of Greater Saint Paul (Native American Food Shelf),https://interfaithaction.org/,651-789-3864,"3080 Centerville Rd, Little Canada, MN 55117",Native American community and neighbors in need; food shelf and related support; generally open to those needing food assistance.,Ramsey,,,Yes (volunteer opportunities on site),No explicit.,https://mn.gov/adresources/search/b8fe6d34-a476-56df-9b4f-bff321bdb7d7,,
International Institute of Minnesota,https://iimn.org/,651-647-0191,"1694 Como Ave, Saint Paul, MN 55108",Immigrants and refugees (“New Americans”); employment training and immigration-related support; can connect clients to basic needs resources (food/housing referrals).,Ramsey,,,Yes (volunteer options on site),Indirect (immigration help/referrals; not specifically ICE-focused on contact page).,https://iimn.org/contact/,,
Karen Organization of Minnesota,https://www.mnkaren.org/,651-788-7593,"2353 Rice St, Ste 240, Roseville, MN 55113","Karen refugees and other immigrants/refugees; social services, employment and community supports; can help connect families to basic needs resources.",Ramsey,,,Yes (get involved/volunteer on site),No explicit; may refer to immigration legal resources.,https://mn.gov/adresources/search/35fbb31d-aaf5-5301-97ee-d10fca60b1d5 ; https://mnkaren.org/about/,,
Keystone Community Services (Community Food Center),https://keystoneservices.org/,651-917-3792,"1800 University Ave W, Saint Paul, MN 55104",Residents needing basic needs support; food shelf/food distribution and supportive services; crisis support and referrals.,Ramsey,,,Yes (volunteer options on site),No explicit; provides basic needs assistance.,https://keystoneservices.org/contact/,,
Merrick Community Services (Food Shelf),https://merrickcs.org/,651-287-2088,"1740 Van Dyke St, St. Paul, MN 55109",Maplewood residents and parts of Saint Paul service area; food pantry/food shelf and supportive services.,Ramsey,,,Yes (volunteer coordinator listed),No explicit.,https://merrickcs.org/about/contact-main/,,
Open Hands Midway,https://www.openhandsmidway.org/,651-646-6549 ext. 4,"436 Roy St N, Saint Paul, MN 55104",Neighbors in need (Midway/area); food shelf and community meals; accepts donations and volunteers.,Ramsey,,,Yes,No explicit.,https://www.openhandsmidway.org/food-shelf,,
Ramsey County Emergency Assistance (Financial Assistance),https://www.ramseycountymn.gov/,651-266-4884 (toll-free 1-833-956-0693),"121 7th Place East, Suite 2500, Saint Paul, MN 55101",Ramsey County residents; emergency assistance for housing/utility crises and other supports (county-administered).,Ramsey,,,N/A (government program),No (government benefits program).,https://www.ramseycountymn.gov/residents/assistance-support/assistance/financial-assistance/emergency-assistance,,
St. Vincent de Paul – Twin Cities (St. Paul),https://www.svdpmpls.org/,651-227-1332,"461 7th St W, St. Paul, MN 55102",Neighbors in need; one-time assistance varies by local conference boundaries; thrift store plus links to local SVdP help for rent/utility and other emergency needs.,Ramsey,,,Yes (conference volunteers),No explicit.,https://www.svdpmpls.org/ ; https://www.svdpmpls.org/contactus_2.html,,
Union Gospel Mission Twin Cities,https://www.ugmtc.org/,651-228-1800,"376 Western Ave N, Saint Paul, MN 55103",People experiencing homelessness/hunger; meals and programs (including food services) and shelter-related support.,Ramsey,,,Yes (volunteer inquiries line listed),No explicit.,https://www.ugmtc.org/who-we-are/locations/ ; https://www.ugmtc.org/who-we-are/contact/,,
Vietnamese Social Services of Minnesota (VSSMN),https://www.vssmn.org/,651-632-8927,"277 University Ave W, Saint Paul, MN 55103",Vietnamese and other refugees/immigrants; services addressing basic economic/education/health needs; referrals/supports that can include food/basic needs help.,Ramsey,,,Yes (volunteer page on site),No explicit; may refer to immigration legal resources.,https://www.vssmn.org/contact-us.html,,
Belle Plaine Food Shelf,https://bpareafoodshelf.org/,612-751-9923,"128 N Meridian St, Belle Plaine, MN 56011",Belle Plaine and surrounding area; food shelf. (MN resource listing notes no ID/legal documentation required.),Scott,,,Yes,No explicit.,https://bpareafoodshelf.org/contact-us ; https://mn.gov/adresources/search/710da205-4a5b-5de8-b5b9-beb0babb1c58,,
CAP Agency – Scott County Office / Food Shelf (Shakopee),https://capagency.org/,952-496-2125,"738 1st Ave E, Shakopee, MN 55379",Scott County residents; food shelf and emergency services; some housing stability resources (availability varies).,Scott,,,Yes,No explicit.,https://capagency.org/ ; https://capagency.org/contact-us/,,
Peace Center Food Shelf (New Prague),https://www.mayoclinichealthsystem.org/locations/new-prague/the-peace-center,952-758-4688,"313 Columbus Ave N, New Prague, MN 56071",New Prague and surrounding area; food distribution center/food shelf.,Scott,,,Yes (volunteer options via partner orgs; check site/Facebook),No explicit.,https://www.mayoclinichealthsystem.org/locations/new-prague/the-peace-center ; https://www.scottcountymn.gov/Calendar.aspx?EID=5701,,
Scott County Financial Assistance (Crisis Funds / Emergency General Assistance),https://www.scottcountymn.gov/,952-447-7751,Scott County (call for intake/process),Scott County residents; crisis funds/emergency general assistance and other public benefits.,Scott,,,N/A (government program),No (government benefits program).,https://www.scottcountymn.gov/FAQ.aspx?QID=125,,
Basic Needs Inc. (South Washington County),https://www.basicneedsmn.org/,651-207-8656,"445 Broadway Ave, St. Paul Park, MN 55071",South Washington County residents; vouchers and basic needs help; referrals and resource navigation.,Washington,,,Yes (check organization for opportunities),No explicit.,https://mn.gov/adresources/search/d3d6bf7f-6061-5b0e-b68b-cba609504e8a,,
Community Thread,https://communitythreadmn.org/,651-439-7434,"2300 Orleans St W, Stillwater, MN 55082","Older adults, youth, and families in Washington County; programs and resource connections; can help connect to food/other supports.",Washington,,,Yes,No explicit.,https://communitythreadmn.org/about/contact-us/,,
Friends In Need Food Shelf (Cottage Grove),http://www.finfood.org,651-458-0730,"PO Box 6, Cottage Grove, MN 55016 (see website for service locations)",Serves Cottage Grove/Newport/St. Paul Park/Grey Cloud Island; food shelf plus limited emergency fund program (one-time financial aid for certain needs).,Washington,,1992,Yes,No explicit.,https://www.givemn.org/organization/Friends-In-Need-Food-Shelf ; https://business.cottagegrovechamber.org/list/member/friends-in-need-food-shelf-378,,
Open Cupboard (Oakdale),https://opencupboard.org/,651-233-1296,"8264 4th St N, Oakdale, MN 55128",Anyone in need of food; Today’s Harvest Market and other food programs; volunteer opportunities.,Washington,,,Yes,No explicit.,https://opencupboard.org/about-us/contact-us/,,
Valley Outreach,https://valleyoutreachmn.org/,651-430-2739,"1911 Curve Crest Blvd W, Stillwater, MN 55082",Washington County area; food support and resource connections (including help navigating housing-related needs).,Washington,,,Yes,No explicit.,https://valleyoutreachmn.org/contact-us/,,
